date,Buy_Volume,Sell_Volume,Volume,Price
2025-08-31 20:00:00,625.0,5.0,625.0,141.71
2025-08-31 21:00:00,546.2,6.7,546.2,119.51
2025-08-31 22:00:00,531.5,7.3,531.5,106.17
2025-08-31 23:00:00,406.2,9.0,406.2,96.06
2025-09-01 00:00:00,250.8,9.0,250.8,86.11
2025-09-01 01:00:00,296.5,7.7,296.5,84.27
2025-09-01 02:00:00,217.8,11.7,217.8,83.56
2025-09-01 03:00:00,241.6,31.0,241.6,82.67
2025-09-01 04:00:00,250.6,32.3,250.6,84.2
2025-09-01 05:00:00,207.8,16.8,207.8,95.09
2025-09-01 06:00:00,229.6,43.0,229.6,121.47
2025-09-01 07:00:00,185.4,95.0,185.4,134.1
2025-09-01 08:00:00,196.9,58.0,196.9,114.41
2025-09-01 09:00:00,212.8,215.6,215.6,99.24
2025-09-01 10:00:00,93.4,339.7,339.7,80.57
2025-09-01 11:00:00,125.6,348.8,348.8,68.93
2025-09-01 12:00:00,252.5,312.8,312.8,48.12
2025-09-01 13:00:00,245.6,386.3,386.3,56.27
2025-09-01 14:00:00,103.6,338.1,338.1,75.01
2025-09-01 15:00:00,252.2,266.5,266.5,76.29
2025-09-01 16:00:00,355.2,127.7,355.2,85.02
2025-09-01 17:00:00,338.5,106.9,338.5,110.79
2025-09-01 18:00:00,402.6,64.7,402.6,175.73
2025-09-01 19:00:00,526.9,51.6,526.9,243.85
2025-09-01 20:00:00,549.5,13.5,549.5,219.1
2025-09-01 21:00:00,443.3,113.4,443.3,126.24
2025-09-01 22:00:00,467.4,117.3,467.4,111.63
2025-09-01 23:00:00,363.1,79.1,363.1,99.63
2025-09-02 00:00:00,316.2,77.4,316.2,98.61
2025-09-02 01:00:00,254.9,69.3,254.9,99.08
2025-09-02 02:00:00,248.8,105.3,248.8,98.14
2025-09-02 03:00:00,233.6,77.7,233.6,98.14
2025-09-02 04:00:00,239.8,104.5,239.8,99.08
2025-09-02 05:00:00,246.7,91.0,246.7,105.9
2025-09-02 06:00:00,261.1,192.8,261.1,130.49
2025-09-02 07:00:00,153.5,172.0,172.0,152.09
2025-09-02 08:00:00,118.6,215.6,215.6,147.99
2025-09-02 09:00:00,68.8,379.0,379.0,115.4
2025-09-02 10:00:00,158.7,329.4,329.4,90.39
2025-09-02 11:00:00,132.3,538.2,538.2,81.23
2025-09-02 12:00:00,154.5,463.5,463.5,81.23
2025-09-02 13:00:00,133.3,338.7,338.7,85.85
2025-09-02 14:00:00,101.6,421.5,421.5,108.08
2025-09-02 15:00:00,328.0,271.7,328.0,116.45
2025-09-02 16:00:00,322.2,141.8,322.2,101.42
2025-09-02 17:00:00,472.7,252.1,472.7,132.52
2025-09-02 18:00:00,751.2,219.1,751.2,178.16
2025-09-02 19:00:00,514.1,215.6,514.1,304.72
2025-09-02 20:00:00,509.9,200.4,509.9,259.78
2025-09-02 21:00:00,666.1,165.7,666.1,138.92
2025-09-02 22:00:00,476.6,128.7,476.6,109.93
2025-09-02 23:00:00,509.5,73.2,509.5,93.92
